origin_vert,dest_vert,hour,origin_coord,dest_coord,tnc_time_min,tnc_cost,tnc_buffer_time,tnc_buffer_cost,tnc_buffer_distance_mi,flight_time_min,uam_total_cost,uam_total_time,tnc_avg_time,utility_uam,utility_tnc,Puam,Ptnc
LAX,LGB,7,"(33.94417072663332, -118.40248449470265)","(33.82164152456161, -118.14438524331895)",29.483333333333334,62,7.783333333333333,1.3808662831802683,0.5523465132721073,15,52.38086628318027,35.28333333333333,34,-7.002253294984694,-7.9,0.7104862298009865,0.28951377019901336
LAX,WDHL,5,"(33.94417072663332, -118.40248449470265)","(34.183363225514626, -118.56403591056515)",37.35,78,7.683333333333334,6.27504227884914,2.510016911539656,15,66.27504227884914,35.18333333333334,48,-8.386670894551582,-10.200000000000001,0.8597637456141035,0.14023625438589638
LAX,DTLA,13,"(33.94417072663332, -118.40248449470265)","(34.0291168600902, -118.2075910900495)",28.166666666666668,50,10.283333333333333,8.893329383239726,3.5573317532958906,10,38.893329383239724,32.78333333333333,35,-5.528499604990639,-6.75,0.7723274832906503,0.2276725167093498
LAX,HWD,14,"(33.94417072663332, -118.40248449470265)","(34.13547957713506, -118.3423132002112)",38.8,57,11.1,7.838776104767232,3.135510441906893,10,40.838776104767234,33.6,45,-5.763877610476724,-7.95,0.8989963563496665,0.10100364365033361
LAX,HWD,9,"(33.94417072663332, -118.40248449470265)","(34.06032883511902, -118.32125619832529)",29.866666666666667,57,10.066666666666666,5.481498706654744,2.1925994826618975,10,38.48149870665475,32.56666666666666,45,-5.476483203998808,-7.95,0.9222642688423801,0.0777357311576199
LAX,ANH,23,"(33.94417072663332, -118.40248449470265)","(33.84021157784719, -117.90876979771072)",39.9,77,10.85,5.042168192061074,2.0168672768244296,15,92.04216819206107,38.35,52,-11.121716819206108,-10.3,0.3053993484021896,0.6946006515978105
LAX,DTLA,4,"(33.94417072663332, -118.40248449470265)","(34.01395866355114, -118.23312737036365)",28.716666666666665,50,10.233333333333333,7.016262953072218,2.806505181228887,10,37.016262953072214,32.733333333333334,35,-5.338292961973888,-6.75,0.8040350487361158,0.1959649512638843
LAX,ANH,9,"(33.94417072663332, -118.40248449470265)","(33.852384491539425, -117.9709591134719)",34.86666666666667,77,10.366666666666667,10.186950112077056,4.074780044830822,15,97.18695011207706,37.86666666666667,52,-11.612028344541041,-10.3,0.21214762662449116,0.7878523733755088
LAX,PSD,11,"(33.94417072663332, -118.40248449470265)","(34.13993483721516, -118.59916538984837)",44.083333333333336,57,37.61666666666667,11.323788621143034,4.5295154484572135,10,50.32378862114304,60.11666666666667,47,-8.038212195447638,-8.05,0.5029469170147527,0.4970530829852473
LAX,HWD,11,"(33.94417072663332, -118.40248449470265)","(34.06345812682092, -118.29560121604516)",34.36666666666667,57,15.7,6.660231423225817,2.6640925692903266,10,39.66023142322582,38.2,45,-5.876023142322582,-7.95,0.8883480189256487,0.11165198107435127
LAX,ANH,8,"(33.94417072663332, -118.40248449470265)","(33.7758475162072, -117.87188284507398)",41.46666666666667,77,10.116666666666667,9.228693861289813,3.691477544515925,15,96.22869386128981,37.61666666666667,52,-11.503702719462316,-10.3,0.2308171783140834,0.7691828216859167
LAX,DTLA,5,"(33.94417072663332, -118.40248449470265)","(34.07648628661202, -118.2527479586785)",30.8,50,10.75,6.114643587754958,2.445857435101983,10,36.114643587754955,33.25,35,-5.273964358775496,-6.75,0.8139730408494179,0.18602695915058218
LAX,HWD,16,"(33.94417072663332, -118.40248449470265)","(34.091556937358405, -118.33860587952913)",37.11666666666667,57,3.6333333333333333,1.6275436601637103,0.6510174640654841,10,34.62754366016371,26.133333333333333,45,-4.769421032683038,-7.95,0.9600968527076245,0.03990314729237557
LAX,DTLA,9,"(33.94417072663332, -118.40248449470265)","(34.09657677110535, -118.3164208891812)",35.666666666666664,50,14.983333333333333,11.599218988495847,4.639687595398339,10,41.59921898849585,37.483333333333334,35,-6.034088565516251,-6.75,0.6717060524974076,0.3282939475025925
LAX,LGB,8,"(33.94417072663332, -118.40248449470265)","(33.84677232608371, -118.20661615329897)",21.283333333333335,62,8.4,9.569367196625633,3.827746878650253,15,60.569367196625635,35.9,34,-7.851936719662564,-7.9,0.5120135074941973,0.4879864925058027
LAX,BVH,12,"(33.94417072663332, -118.40248449470265)","(34.0344345852494, -118.44907432838991)",20.583333333333332,45,12.116666666666667,7.7457124402858435,3.0982849761143374,10,33.24571244028584,34.61666666666667,29,-5.055404577361918,-5.95,0.7098375953449882,0.29016240465501164
LAX,UVS,13,"(33.94417072663332, -118.40248449470265)","(34.09199039570108, -118.3910878364594)",36.45,57,26.8,9.519738459083095,3.8078953836332383,10,51.519738459083094,49.3,45,-7.616973845908309,-7.95,0.5824955040563629,0.41750449594363725
LAX,HWD,5,"(33.94417072663332, -118.40248449470265)","(34.137698160057724, -118.39543628899278)",36.15,57,18.216666666666665,12.577081190511246,5.030832476204498,10,45.577081190511244,40.71666666666667,45,-6.593541452384458,-7.95,0.7951835160117079,0.20481648398829203
LAX,LGB,8,"(33.94417072663332, -118.40248449470265)","(33.76200384257696, -118.10506952410505)",29.283333333333335,62,10.85,11.430176819996927,4.572070727998771,15,62.43017681999693,38.35,34,-8.160517681999693,-7.9,0.4352364547557781,0.5647635452442219
LAX,LGB,13,"(33.94417072663332, -118.40248449470265)","(33.78860740104816, -118.18379739979916)",27.033333333333335,62,12.383333333333333,6.652616280830141,2.661046512332056,15,57.65261628083014,39.88333333333333,34,-7.75942829474968,-7.9,0.5350851705681804,0.46491482943181967
LAX,LGB,8,"(33.94417072663332, -118.40248449470265)","(33.84741639518493, -118.16209214878376)",26.983333333333334,62,10.05,5.633694016414469,2.2534776065657875,15,56.633694016414466,37.55,34,-7.540869401641446,-7.9,0.5888299601575117,0.4111700398424884
