time,origin,destination,count,duration,energy_consumption,tour_length,cluster_id,tour_revenue,revenue,per_flight_revenue,tour_sequence,served,p,q,p2,q2
305.0,2,2,1,25,35.0,2,6,153.2516319146921,,,LGB-LAX-LGB,1,40.0,40.0,40.0,92.5
305.0,5,0,1,15,20.0,1,12,176.51209411921764,176.51209411921764,176.51209411921764,ANH-LAX,1,37.5,37.5,37.5,37.5
305.0,6,1,1,20,30.0,2,29,114.54715278516795,,,HWD-LAX-DTLA,1,42.5,70.0,70.0,72.5
305.0,1,0,1,10,15.0,1,26,124.7524094308745,124.7524094308745,124.7524094308745,DTLA-LAX,1,80.0,85.0,70.0,82.5
305.0,0,8,1,10,15.0,1,17,51.04884363573325,51.04884363573325,51.04884363573325,LAX-BVH,1,20.0,35.0,20.0,82.5
305.0,6,0,1,10,15.0,1,28,83.35905042744933,166.71810085489867,83.35905042744933,HWD-LAX,1,55.0,65.0,50.0,75.0
310.0,8,0,1,10,15.0,1,31,25.524421817866624,25.524421817866624,25.524421817866624,BVH-LAX,1,20.0,37.5,22.5,60.0
310.0,1,0,1,10,15.0,1,32,62.37620471543725,62.37620471543725,62.37620471543725,DTLA-LAX,1,62.5,62.5,62.5,62.5
310.0,2,0,1,15,20.0,1,0,153.2516319146921,153.2516319146921,153.2516319146921,LGB-LAX,1,22.5,25.0,25.0,60.0
315.0,7,1,1,20,30.0,2,33,110.03244454105631,,,PSD-LAX-DTLA,1,20.0,22.5,22.5,62.5
315.0,5,0,1,15,20.0,1,22,88.25604705960882,88.25604705960882,88.25604705960882,ANH-LAX,1,67.5,70.0,70.0,72.5
315.0,6,0,1,10,15.0,1,38,133.37448068391893,133.37448068391893,133.37448068391893,HWD-LAX,1,47.5,47.5,32.5,75.0
315.0,0,0,1,20,30.0,2,11,76.57326545359987,,,LAX-BVH-LAX,1,22.5,25.0,25.0,70.0
320.0,0,3,1,15,20.0,1,32,117.8047207865958,117.8047207865958,117.8047207865958,LAX-WDHL,1,42.5,42.5,42.5,42.5
320.0,2,0,1,15,20.0,1,14,102.16775460979474,102.16775460979474,102.16775460979474,LGB-LAX,1,37.5,37.5,37.5,37.5
320.0,0,5,1,15,20.0,1,35,176.51209411921764,176.51209411921764,176.51209411921764,LAX-ANH,1,45.0,45.0,45.0,55.0
320.0,8,0,1,10,15.0,1,7,51.04884363573325,51.04884363573325,51.04884363573325,BVH-LAX,1,40.0,40.0,25.0,37.5
320.0,5,1,1,25,35.0,2,40,207.70019647693627,,,ANH-LAX-DTLA,1,52.5,85.0,85.0,85.0
320.0,4,0,1,10,15.0,1,4,82.45340130846085,82.45340130846085,82.45340130846085,UVS-LAX,1,70.0,85.0,70.0,70.0
320.0,0,6,1,10,15.0,1,12,33.34362017097973,33.34362017097973,33.34362017097973,LAX-HWD,1,22.5,60.0,60.0,60.0
320.0,6,0,1,10,15.0,1,9,33.34362017097973,33.34362017097973,33.34362017097973,HWD-LAX,1,60.0,62.5,47.5,80.0
325.0,6,0,1,10,15.0,1,16,133.37448068391893,133.37448068391893,133.37448068391893,HWD-LAX,1,52.5,52.5,52.5,52.5
325.0,3,0,1,15,20.0,1,27,117.8047207865958,117.8047207865958,117.8047207865958,WDHL-LAX,1,67.5,70.0,50.0,60.0
